time,open,high,low,close,volume,complete,sma_short,sma_long,signal
2021-01-11,104.27,104.333,103.722,103.752,69048,True,103.46211111111113,103.64876923076923,-1
2021-01-12,103.76,103.998,103.526,103.884,66314,True,103.54211111111111,103.64215384615385,-1
2021-01-13,103.891,104.198,103.563,103.802,77022,True,103.59588888888888,103.62796153846155,-1
2021-01-14,103.808,103.913,103.616,103.876,60017,True,103.67922222222222,103.61453846153846,1
2021-01-17,103.818,103.931,103.638,103.691,55602,True,103.785,103.59334615384616,1
2021-01-18,103.686,104.086,103.653,103.902,60759,True,103.87988888888889,103.58742307692309,1
2021-01-19,103.9,103.936,103.448,103.542,57625,True,103.84988888888888,103.5671923076923,1
2021-01-20,103.538,103.669,103.328,103.511,62962,True,103.80288888888889,103.56092307692307,1
2021-01-21,103.503,103.886,103.486,103.777,52145,True,103.74855555555557,103.57311538461539,1
2021-01-24,103.809,103.938,103.672,103.738,51308,True,103.74700000000001,103.59784615384615,1
2021-01-25,103.732,103.829,103.556,103.618,47321,True,103.71744444444445,103.60976923076922,1
2021-01-26,103.623,104.201,103.588,104.11,59594,True,103.75166666666667,103.63926923076923,1
2021-01-27,104.106,104.463,104.064,104.231,61373,True,103.79111111111109,103.66165384615384,1
2021-01-28,104.226,104.941,104.224,104.714,71206,True,103.90477777777778,103.70511538461538,1
2021-01-31,104.79,105.036,104.609,104.924,41587,True,104.01833333333333,103.75315384615386,1
2021-02-01,104.92,105.174,104.829,104.973,43233,True,104.17733333333334,103.80250000000001,1
2021-02-02,104.981,105.106,104.923,105.03,32850,True,104.34611111111111,103.84942307692307,1
2021-02-03,105.022,105.608,104.976,105.583,36749,True,104.54677777777778,103.92557692307693,1
2021-02-04,105.596,105.768,105.336,105.4,51295,True,104.73144444444443,104.01157692307692,1
2021-02-07,105.35,105.672,105.15,105.223,44430,True,104.90977777777778,104.08484615384616,1
2021-02-08,105.217,105.265,104.498,104.602,55472,True,104.96444444444445,104.14161538461538,1
2021-02-09,104.582,104.844,104.41,104.58,47304,True,105.00322222222222,104.21242307692309,1
2021-02-10,104.589,104.805,104.551,104.747,43443,True,105.0068888888889,104.27776923076924,1
2021-02-11,104.794,105.183,104.738,104.926,41760,True,105.00711111111112,104.32061538461538,1
2021-02-14,104.905,105.42,104.905,105.388,32873,True,105.05322222222223,104.37653846153846,1
2021-02-15,105.376,106.078,105.182,106.047,54193,True,105.16622222222222,104.44503846153846,1
2021-02-16,106.043,106.226,105.778,105.875,62477,True,105.19866666666667,104.5266923076923,1
2021-02-17,105.87,105.925,105.598,105.715,45661,True,105.23366666666668,104.59711538461539,1
2021-02-18,105.694,105.742,105.24,105.429,50153,True,105.25655555555555,104.65969230769231,1
2021-02-21,105.401,105.846,104.984,105.081,61662,True,105.30977777777778,104.70603846153845,1
2021-02-22,105.072,105.43,104.922,105.251,52638,True,105.38433333333334,104.76603846153846,1
2021-02-23,105.256,106.105,105.194,105.885,70767,True,105.51077777777778,104.8423076923077,1
2021-02-24,105.852,106.406,105.845,106.214,103679,True,105.6538888888889,104.94507692307693,1
2021-02-25,106.208,106.694,105.85,106.568,126833,True,105.78500000000001,105.06265384615384,1
2021-02-28,106.553,106.89,106.367,106.762,65284,True,105.86444444444444,105.17746153846154,1
2021-03-01,106.719,106.958,106.676,106.687,55035,True,105.95466666666667,105.29088461538461,1
2021-03-02,106.691,107.154,106.683,107.014,59362,True,106.09899999999999,105.42150000000001,1
2021-03-03,106.993,107.988,106.968,107.982,71843,True,106.38266666666667,105.57042307692308,1
2021-03-04,107.963,108.646,107.821,108.339,103084,True,106.74466666666666,105.72842307692306,1
2021-03-07,108.36,108.944,108.31,108.899,67547,True,107.15,105.88938461538461,1
2021-03-08,108.884,109.236,108.415,108.488,89467,True,107.43922222222221,106.02646153846155,1
2021-03-09,108.472,108.92,108.339,108.381,80377,True,107.68,106.15753846153846,1
2021-03-10,108.404,108.813,108.357,108.511,82077,True,107.89588888888889,106.29142307692308,1
2021-03-11,108.517,109.166,108.495,109.024,79256,True,108.14722222222223,106.42376923076924,1
2021-03-14,109.006,109.364,108.914,109.129,65320,True,108.41855555555556,106.5671923076923,1
2021-03-15,109.148,109.288,108.772,109.0,64225,True,108.63922222222223,106.71246153846154,1
2021-03-16,108.994,109.326,108.746,108.841,67055,True,108.73466666666667,106.87550000000002,1
2021-03-17,108.846,109.304,108.624,108.886,88424,True,108.79544444444444,107.04111538461538,1
2021-03-18,108.932,109.13,108.608,108.884,73612,True,108.79377777777778,107.20023076923077,1
2021-03-21,108.666,108.957,108.596,108.845,51837,True,108.83344444444444,107.35096153846153,1
2021-03-22,108.841,108.874,108.406,108.584,60375,True,108.856,107.4738846153846,1
2021-03-23,108.612,108.957,108.452,108.738,52057,True,108.88122222222222,107.57738461538462,1
2021-03-24,108.726,109.238,108.726,109.186,56965,True,108.89922222222222,107.70473076923078,1
2021-03-25,109.188,109.849,109.131,109.682,57945,True,108.96066666666667,107.85730769230769,1
2021-03-28,109.734,109.846,109.374,109.795,53338,True,109.049,108.02523076923077,1
2021-03-29,109.783,110.428,109.75,110.36,57585,True,109.21777777777777,108.22826923076924,1
