sma_time,open,high,low,close,sma_short,sma_long,signal
2026-04-05 21:00:00,159.641,159.772,159.477,159.632,159.62133333333333,159.6066153846154,1
2026-04-05 22:00:00,159.62,159.808,159.472,159.679,159.63944444444445,159.6094230769231,1
2026-04-05 23:00:00,159.678,159.834,159.61,159.78,159.65966666666668,159.6176153846154,1
2026-04-06 00:00:00,159.781,159.805,159.658,159.75,159.6712222222222,159.62596153846152,1
2026-04-06 01:00:00,159.747,159.747,159.618,159.694,159.67766666666665,159.63357692307693,1
2026-04-06 02:00:00,159.694,159.695,159.528,159.557,159.6688888888889,159.632,1
2026-04-06 03:00:00,159.558,159.642,159.536,159.626,159.66533333333334,159.63123076923077,1
2026-04-06 04:00:00,159.626,159.633,159.547,159.572,159.65800000000002,159.6273076923077,1
2026-04-06 05:00:00,159.57,159.583,159.552,159.574,159.65155555555555,159.62699999999998,1
2026-04-06 06:00:00,159.573,159.656,159.545,159.611,159.64922222222222,159.62653846153847,1
2026-04-06 07:00:00,159.612,159.712,159.346,159.388,159.61688888888887,159.61646153846155,1
2026-04-06 08:00:00,159.386,159.44,159.304,159.39,159.57355555555557,159.60696153846155,-1
2026-04-06 09:00:00,159.389,159.471,159.348,159.434,159.53844444444445,159.6010769230769,-1
2026-04-06 10:00:00,159.434,159.562,159.414,159.462,159.51266666666666,159.59542307692305,-1
2026-04-06 11:00:00,159.461,159.588,159.455,159.558,159.51277777777779,159.59396153846154,-1
2026-04-06 12:00:00,159.561,159.572,159.37,159.41,159.48877777777776,159.58680769230767,-1
2026-04-06 13:00:00,159.409,159.504,159.398,159.491,159.47977777777774,159.58415384615384,-1
2026-04-06 14:00:00,159.484,159.72,159.399,159.708,159.49466666666666,159.58753846153846,-1
2026-04-06 15:00:00,159.709,159.805,159.704,159.708,159.50544444444444,159.59492307692307,-1
2026-04-06 16:00:00,159.709,159.714,159.623,159.681,159.538,159.5981153846154,-1
2026-04-06 17:00:00,159.68,159.798,159.68,159.774,159.58066666666664,159.60303846153846,-1
2026-04-06 18:00:00,159.774,159.792,159.594,159.688,159.60888888888888,159.60503846153844,1
2026-04-06 19:00:00,159.688,159.736,159.652,159.698,159.6351111111111,159.60742307692306,1
2026-04-06 20:00:00,159.698,159.715,159.67,159.686,159.64933333333335,159.6085,1
2026-04-06 21:00:00,159.694,159.748,159.605,159.676,159.6788888888889,159.6099615384615,1
